Name,Link,Longitude,Latitude,Company,Funder,Incubator/accelerator,University/RTO
Glyndwr University,Not given,-3.003309,53.054075,0,0,0,1
Goldsmiths College,Not given,-0.035401,51.474144,0,0,0,1
Great Ormond Street Hospital,Not given,-0.121902,51.522064,0,0,0,1
Greater London Authority,https://www.london.gov.uk/,-0.076953,51.503979,0,0,0,1
Greater Manchester Police (The),Not given,-2.262774,53.457322,0,0,0,1
Guy's & St Thomas' NHS Foundation Trust,Not given,-0.087179,51.503355,0,0,0,1
HM Revenue & Customs,http://www.hmrc.gov.uk,-0.127162,51.501688,0,0,0,1
HM Treasury,https://www.gov.uk/government/organisations/hm-treasury,-0.129251,51.501793,0,0,0,1
HP Research Laboratories,Not given,-2.553004,51.50135,0,0,0,1
Halcrow Group Ltd,Not given,-0.21614,51.494253,0,0,0,1
Hampshire County Council,Not given,-1.319369,51.062549,0,0,0,1
Haydale,https://www.haydale.com/,-1.39342,50.894775,0,0,0,1
Health and Safety Executive,Not given,-0.095429,51.507444,0,0,0,1
Health and Safety Laboratory,Not given,-1.917448,53.230808,0,0,0,1
Henry Royce Institute,http://www.royce.ac.uk/,-2.234734,53.465994,0,0,0,1
Her Majesty's Government Communications,Not given,-0.809653,52.103201,0,0,0,1
Heriot-Watt University,http://www.hw.ac.uk/,-3.319294,55.910034,0,0,0,1
Hewlett Packard plc,Not given,-0.782647,51.414224,0,0,0,1
High Speed Two HS2 Ltd,Not given,-0.133373,51.497875,0,0,0,1
High Value Manufacturing (HVM) Catapult,Not given,-1.560201,52.379507,0,0,0,1
Highways Agency,Not given,-2.22646,53.480443,0,0,0,1
Historic Royal Palaces,http://www.hrp.org.uk,-0.338854,51.405604,0,0,0,1
Hitachi Cambridge Laboratory,Not given,0.091646,52.209796,0,0,0,1
Hitachi Europe Ltd,Not given,-0.701564,51.543649,0,0,0,1
Home Office Sci Dev't Branch,Not given,-0.319236,51.108862,0,0,0,1
Home Office Science,Not given,-0.28518,51.778321,0,0,0,1
Horiba Mira Ltd,Not given,-1.463689,52.554062,0,0,0,1
House of Commons,Not given,-0.124563,51.4993,0,0,0,1
Huawei Technologies (UK) Co. Ltd,Not given,-1.097213,51.24615,0,0,0,1
IBM United Kingdom Limited,Not given,-1.069617,50.844683,0,0,0,1
IQE Silicon Compounds Ltd,Not given,-3.087979,51.53093,0,0,0,1
IXICO Ltd,Not given,-0.098993,51.519786,0,0,0,1
